Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Danish luncheon sandwich,,,193.82,9.03,10.1,,1.52,17.77,Indian Dishes,1.13,365.63,77.13,1.27,2.35,25.88
Chicken and corn open sandwich,,,188.16,8.63,8.83,,1.67,19.21,Indian Dishes,2.48,226.72,65.13,0.8,2.12,14.16
Chocolate sponge cake,,,239.86,9.13,5.51,,0.52,39.54,Indian Dishes,25.0,61.47,33.99,1.81,0.0,19.87
Chocolate swiss roll,,,306.08,6.01,19.76,,0.29,26.97,Indian Dishes,18.83,44.53,42.79,1.08,0.19,8.91
Lemon curd filling,,,225.62,3.43,12.58,,0.0,26.41,Indian Dishes,26.13,34.9,16.39,0.6,0.64,3.21
Jam filling,,,184.62,0.0,0.0,,0.0,46.15,Indian Dishes,41.54,0.0,0.0,0.0,0.0,0.0
Chocolate pastry,,,243.37,7.05,10.12,,0.32,32.24,Indian Dishes,22.34,46.54,50.7,1.44,0.25,17.22
Assorted pastry,,,230.74,6.78,8.91,,0.43,31.99,Indian Dishes,19.7,49.99,47.2,0.94,0.25,15.61
Orange gateau,,,178.05,4.78,6.02,,0.68,27.01,Indian Dishes,18.33,80.41,41.69,0.89,10.49,15.12
Black forest gateau,,,217.82,5.94,8.58,,0.28,30.57,Indian Dishes,21.97,79.37,46.79,1.09,143.5,10.98
Lemon cake,,,373.85,5.29,20.63,,0.62,43.1,Indian Dishes,25.84,151.29,32.77,0.91,2.44,9.0
Dundee cake,,,396.62,7.78,22.7,,1.81,41.4,Indian Dishes,21.3,182.74,58.11,1.57,0.07,9.22
Victorian sandwich cake,,,373.09,5.18,19.83,,0.59,44.74,Indian Dishes,28.18,145.28,36.25,0.86,0.08,8.66
Chocolate eggless cake,,,312.01,6.66,13.19,,0.32,43.45,Indian Dishes,34.2,196.61,185.38,0.95,2.67,14.7
Orange eggless cake,,,355.62,7.16,13.82,,0.56,52.65,Indian Dishes,37.87,226.28,205.84,0.52,3.47,13.72
Chocolate glace icing,,,436.29,3.22,20.8,,0.0,62.43,Indian Dishes,59.88,8.66,26.75,2.04,0.0,1.52
Butter icing,,,500.72,0.19,25.37,,0.0,71.64,Indian Dishes,71.64,5.98,12.48,0.14,0.0,0.0
Chocolate butter icing,,,469.59,3.21,24.77,,0.0,61.72,Indian Dishes,59.82,4.99,31.87,1.85,0.0,1.22
Almond biscuit (Badam ke biscuit),,,407.74,6.25,19.7,,1.5,52.14,Indian Dishes,22.19,151.76,44.05,1.11,0.03,2.28
Orange biscuit,,,354.78,3.63,11.01,,0.75,62.11,Indian Dishes,42.63,259.14,20.35,0.77,1.36,5.1
Gingerman biscuit,,,357.43,6.26,12.73,,2.0,55.24,Indian Dishes,21.64,918.57,41.35,1.59,3.65,4.91
Coffee drops,,,443.07,7.57,27.16,,1.88,43.06,Indian Dishes,18.27,88.17,57.09,1.48,0.03,2.72
Christmas biscuit,,,406.07,5.67,15.88,,2.17,60.97,Indian Dishes,26.01,127.36,29.07,1.2,0.0,2.42
Christmas wreath biscuit,,,386.05,5.43,15.01,,2.28,58.07,Indian Dishes,24.89,120.2,29.71,1.21,2.28,2.53
Christmas bell biscuit,,,404.85,5.66,15.84,,2.33,60.79,Indian Dishes,25.94,127.01,32.0,1.22,0.0,2.42
Christmas star biscuit,,,392.03,3.54,10.04,,1.47,74.54,Indian Dishes,53.05,76.09,22.75,0.96,0.01,2.69
Christmas tree biscuit,,,385.63,5.43,15.0,,2.65,58.41,Indian Dishes,24.77,120.45,35.04,1.18,1.61,2.58
Chocolate cream shells,,,427.17,5.1,19.34,,0.9,59.26,Indian Dishes,34.72,126.84,28.53,1.08,0.0,2.42
Jelly biscuit,,,404.61,4.23,19.33,,2.02,55.24,Indian Dishes,29.76,110.57,36.46,1.19,0.03,1.69
Cherry and walnut cookies,,,422.6,5.63,18.75,,1.3,59.35,Indian Dishes,30.37,114.62,46.27,1.31,0.0,2.49
Cheese straws,,,382.0,9.83,24.28,,1.29,30.61,Indian Dishes,1.79,587.42,160.64,1.29,0.0,2.35
Butterfly biscuit,,,341.45,9.98,22.11,,1.02,25.33,Indian Dishes,2.44,572.05,202.49,1.09,0.03,2.63
Flan pastry,,,445.8,6.72,25.04,,1.58,47.84,Indian Dishes,6.22,193.23,21.85,1.15,0.0,7.11
Fruit flan,,,261.35,3.3,12.48,,0.71,34.71,Indian Dishes,9.52,110.04,19.28,0.61,3.3,33.99
Orange cream flan,,,280.28,4.73,13.59,,0.63,36.16,Indian Dishes,25.27,82.41,27.9,0.93,43.79,76.78
Fruit puree tart,,,286.5,3.35,16.83,,1.31,30.42,Indian Dishes,9.79,49.65,19.64,0.63,2.6,6.05
Apple banana pie,,,243.99,3.13,11.39,,1.89,32.12,Indian Dishes,12.96,384.43,21.23,0.79,8.88,31.98
Lemon chiffon pie,,,259.31,4.88,14.52,,0.66,27.63,Indian Dishes,11.39,94.95,34.43,0.61,7.18,51.7
Orange chiffon pie,,,207.57,3.89,11.16,,0.7,23.14,Indian Dishes,10.46,73.23,30.34,0.62,84.88,91.24
Cream buns,,,215.74,4.45,15.81,,0.31,14.16,Indian Dishes,5.95,45.49,45.27,0.5,0.33,9.28
Savoury puffs,,,190.79,9.51,15.24,,0.33,10.8,Indian Dishes,4.51,2274.24,68.83,1.19,1.49,15.04
Choux swans,,,216.34,4.35,15.6,,0.35,14.92,Indian Dishes,6.13,145.08,44.67,0.51,4.27,18.67
Potato aigrettes,,,530.03,2.35,54.24,,0.45,8.01,Indian Dishes,0.73,112.45,9.2,0.45,1.16,3.35
Cream horns,,,408.23,3.42,33.55,,0.6,23.12,Indian Dishes,7.12,57.11,30.93,0.44,0.5,8.8
Savoury cheese horns,,,295.15,5.66,20.71,,0.73,21.38,Indian Dishes,2.74,212.28,121.83,0.63,2.31,8.51
Paneer patties,,,338.58,7.6,23.96,,1.18,22.79,Indian Dishes,4.04,158.44,129.9,0.79,3.3,31.26
Vegetable patties ,,,261.92,4.01,17.74,,2.62,20.98,Indian Dishes,1.49,139.52,18.96,0.87,13.92,22.85
Pearl millet infant food (Bajra shishu aahaar),,,362.44,11.98,6.62,,7.84,62.1,Indian Dishes,26.06,12.67,118.52,5.67,0.0,24.14
Sajina,,,345.26,10.81,3.03,,7.62,66.87,Indian Dishes,25.89,11.7,54.4,5.39,0.0,20.4
Cereal mix ,,,120.81,3.32,2.02,,2.03,21.84,Indian Dishes,10.68,9.29,21.4,1.18,0.62,23.98
Pulse mix,,,83.29,3.16,0.54,,2.25,16.0,Indian Dishes,6.59,3.88,14.93,1.29,0.0,24.23
Shishu ahar,,,93.37,2.61,1.43,,1.02,17.42,Indian Dishes,6.61,2.68,13.78,1.02,0.0,17.34
Cereal pulse mix with amylase rice flour,,,151.57,4.27,2.74,,3.47,27.8,Indian Dishes,8.84,1.03,12.61,1.19,0.0,18.71
Banana groundnut paste/puree,,,213.19,4.27,5.45,,1.7,36.15,Indian Dishes,31.67,16.85,74.93,1.9,3.02,20.9
Rice dal porridge (Chawal dal ki khichdi/khichri),,,383.33,10.8,8.33,,4.51,65.04,Indian Dishes,26.54,12.33,50.46,2.76,0.0,11.87
Lentils and semolina porridge (Dal suji porridge/daliya),,,117.29,3.26,1.06,,1.44,23.19,Indian Dishes,13.84,9.64,44.74,1.22,0.8,21.48
Spinach khichri (Palak khichri/khichdi),,,102.18,3.43,1.91,,1.56,17.35,Indian Dishes,0.21,69.59,10.43,0.65,3.03,28.15
Vegetable mix,,,174.21,4.7,0.94,,1.93,36.02,Indian Dishes,27.36,34.94,90.06,2.27,8.48,36.84
Lentils and wheat porridge (Dal wheat porridge/daliya ),,,52.54,2.71,0.94,,1.28,8.36,Indian Dishes,0.92,62.79,26.28,0.52,0.6,11.32
Maize porridge,,,89.57,2.14,1.89,,1.68,15.64,Indian Dishes,7.69,5.59,17.02,1.11,3.03,23.98
Spinach peanut burfi (Palak aur mungfali ki burfi),,,105.37,3.36,4.39,,2.07,13.59,Indian Dishes,11.5,19.52,40.95,1.61,30.28,164.72
Split bengal gram burfi/fudge (Channa dal burfi),,,287.36,4.65,7.09,,2.06,54.63,Indian Dishes,43.38,2.53,16.44,0.62,0.6,24.28
Chickpea flour cookies (Sweet besan rounds/cookies),,,207.01,4.29,3.42,,2.56,39.64,Indian Dishes,30.66,22.29,54.95,2.16,0.39,10.0
Pearl millet mathri (Bajra mathri),,,785.08,1.82,83.12,,1.36,7.42,Indian Dishes,0.16,33.17,4.63,0.72,0.0,16.09
Sesame biscuit (Til ke biscuit),,,424.03,8.27,19.34,,6.83,53.65,Indian Dishes,29.73,182.26,298.06,5.73,0.0,5.46
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),,,657.57,4.05,67.19,,2.65,8.68,Indian Dishes,0.35,63.87,20.5,1.38,3.95,38.78
Poshtik namak paras,,,613.39,6.49,56.58,,4.55,19.52,Indian Dishes,0.87,44.01,60.74,2.03,0.38,6.09
Soya chikki,,,423.7,7.18,15.51,,3.55,62.89,Indian Dishes,45.47,17.24,81.25,4.47,0.0,36.21
Besan bathua chilla/cheela,,,373.82,11.48,18.57,,7.79,40.65,Indian Dishes,1.45,166.36,64.75,2.68,2.05,24.35
Wheat flour and nuts ladoos (Atta nuts ladoos),,,391.9,9.46,19.19,,7.3,44.31,Indian Dishes,15.94,8.07,127.29,4.01,0.0,13.1
Gram flour and semolina dhokla (Besan suji dhokla),,,198.91,8.52,7.1,,4.59,25.92,Indian Dishes,2.58,196.59,66.66,1.6,6.55,76.09
Atta dal burfi ,,,298.8,6.66,12.47,,4.08,40.64,Indian Dishes,21.08,3.56,17.07,1.56,0.0,9.07
Soya roti,,,283.96,9.18,9.23,,8.71,40.03,Indian Dishes,1.58,155.93,53.42,3.85,4.04,35.91
Poshtik khichdi/khichri,,,93.37,3.04,1.88,,2.0,15.64,Indian Dishes,0.26,41.67,30.41,1.0,25.77,65.43
Namkeen daliya,,,295.11,8.29,7.99,,8.57,49.32,Indian Dishes,0.82,149.63,35.98,2.99,6.88,6.32
Sprouts upma ,,,316.25,9.5,10.44,,7.16,44.96,Indian Dishes,1.67,147.82,36.78,2.76,0.48,26.63
Semolina idli (Suji/Rava idli),,,206.39,9.34,3.47,,5.85,33.67,Indian Dishes,3.42,185.02,100.85,2.34,1.61,17.37
Poshtik chilla/cheela,,,159.53,4.85,3.04,,4.91,27.47,Indian Dishes,1.22,97.18,18.18,2.1,0.58,11.79
Stuffed bittergourd (dry) (Bharwa karela),,,217.65,1.29,22.38,,3.0,2.49,Indian Dishes,0.07,519.29,16.72,1.29,43.5,48.09
Cauliflower potato canjee,,,16.79,0.57,0.39,,0.69,2.63,Indian Dishes,0.13,35.58,6.78,0.28,15.57,14.43
Creamed spinach,,,96.91,5.18,6.39,,1.33,4.44,Indian Dishes,1.59,156.02,122.3,1.89,62.17,320.46
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),,,68.35,1.93,2.8,,0.23,9.18,Indian Dishes,9.11,16.64,69.36,0.15,16.96,46.37
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),,,68.49,1.93,2.75,,0.42,9.33,Indian Dishes,9.2,16.65,68.78,0.12,18.32,20.84
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),,,67.82,1.95,2.75,,0.16,9.15,Indian Dishes,9.0,16.65,69.8,0.19,20.86,21.34
Woodapple juice (Bel ka sharbat),,,34.18,0.63,0.7,,1.03,6.51,Indian Dishes,5.75,127.45,11.85,0.12,18.36,5.65
Sattu drink,,,23.38,0.56,0.14,,0.4,5.16,Indian Dishes,3.96,12.65,1.59,0.17,0.0,25.48
Apple and honey sorbet (Seb aur shehad ka sharbat),,,121.3,0.15,0.29,,1.13,30.74,Indian Dishes,29.18,1.97,9.11,0.18,5.08,2.68
Thandai,,,101.18,3.59,5.89,,0.8,9.13,Indian Dishes,8.21,22.69,112.31,0.6,3.66,18.19
Cucumber sharbat (Kheere ka sharbat),,,27.28,0.26,0.06,,0.78,6.64,Indian Dishes,5.46,2.57,6.49,0.18,9.16,25.26
Apple oats chia seed smoothie,,,85.64,3.49,2.48,,1.44,13.07,Indian Dishes,5.76,32.02,88.89,0.5,5.39,71.4
Nannari sharbat,,,88.79,0.01,0.01,,0.0,23.62,Indian Dishes,23.58,1.16,2.67,0.05,9.92,2.29
Semolina milk drink (Thari kanji),,,44.16,0.98,1.36,,0.72,6.93,Indian Dishes,3.88,11.95,8.26,0.36,6.58,11.86
Saffron milk (Kesariya doodh),,,102.18,3.17,4.57,,0.14,12.64,Indian Dishes,12.5,23.69,110.88,0.21,4.84,17.96
Black rice kheer (Chak-hao kheer),,,147.94,4.37,4.91,,0.76,22.93,Indian Dishes,12.57,25.77,94.89,0.46,3.22,11.25
Coconut kheer (Nariyal ki kheer),,,162.61,3.4,10.55,,1.53,14.42,Indian Dishes,13.73,45.97,89.52,0.53,12.21,49.34
Apple sago payasam (Seb aur sabudana ki kheer),,,136.5,3.13,7.66,,0.38,14.4,Indian Dishes,10.63,39.45,102.11,0.31,5.88,21.45
Kesari bath,,,244.57,2.4,12.59,,1.65,31.38,Indian Dishes,20.16,1.7,7.7,0.69,0.0,8.55
Putharekulu,,,318.3,3.66,7.55,,1.75,59.61,Indian Dishes,23.86,2.67,6.11,0.38,0.0,2.44
Mango malpua,,,334.64,1.65,30.67,,2.08,12.84,Indian Dishes,4.96,1.89,10.64,0.7,38.05,110.67
Mango vanilla custard,,,147.63,3.43,7.04,,0.99,18.41,Indian Dishes,14.62,30.12,84.86,0.58,16.05,49.19
Kiwi granola pudding,,,280.99,5.6,15.36,,3.71,32.33,Indian Dishes,15.08,59.21,62.2,1.45,65.34,207.15
Oats burfi,,,425.19,8.89,17.27,,4.96,62.47,Indian Dishes,32.93,8.15,128.58,2.46,0.06,17.81
Lotus seed halwa (Kamal gattay ka halwa),,,370.55,7.79,20.69,,0.42,39.56,Indian Dishes,9.8,3.06,82.84,1.8,0.06,179.08
Amaranth ladoo (Rajgira ladoo),,,454.15,10.12,22.7,,5.11,51.33,Indian Dishes,19.92,7.51,144.58,6.47,0.03,9.52
Chhena poda,,,344.57,13.68,17.94,,1.4,33.64,Indian Dishes,30.65,13.0,295.29,1.41,0.09,42.67
Sweet couscous dessert,,,196.2,3.81,7.69,,2.18,29.69,Indian Dishes,15.89,4.22,30.94,0.84,34.1,29.16
Sweetened yogurt (Shrikhand),,,107.18,5.27,2.89,,0.08,16.02,Indian Dishes,15.81,73.61,183.02,0.17,2.79,50.44
Thickened sweetened milk (Rabri),,,102.79,3.52,5.35,,0.19,10.55,Indian Dishes,10.09,23.92,111.87,0.29,4.09,16.31
Gram flour halwa (Besan halwa),,,276.79,5.88,17.3,,1.82,25.78,Indian Dishes,15.83,15.4,77.42,0.67,1.66,51.61
Prawn sandwich,,,169.65,10.36,9.27,,1.55,11.89,Indian Dishes,1.21,213.38,75.53,1.11,12.57,50.99
Watercress sandwich,,,229.42,5.17,11.47,,2.26,28.03,Indian Dishes,1.81,407.44,98.16,0.99,2.23,12.14
Fish sandwich ,,,150.2,4.72,10.37,,1.23,10.09,Indian Dishes,1.04,161.88,47.28,0.69,3.89,39.29
Kidney bean sandwich with cottage cheese,,,176.64,9.85,6.84,,3.66,18.86,Indian Dishes,3.69,97.97,166.63,1.64,5.33,213.8
Finger millet biscuit (Ragi biscuit),,,458.56,4.03,25.79,,5.97,52.69,Indian Dishes,16.9,98.24,207.04,2.54,0.0,13.87
Buttermilk biscuit,,,322.54,5.76,17.5,,1.18,34.93,Indian Dishes,3.44,323.74,67.16,0.77,0.0,11.23
Lemon cookies,,,394.48,5.63,23.02,,0.78,42.19,Indian Dishes,23.47,84.71,72.04,0.69,1.5,10.76
Sweet potato biscuit (Shakarkand ke biscuit),,,296.4,5.14,13.31,,2.27,38.13,Indian Dishes,2.53,339.58,56.34,0.81,7.95,17.7
Raspberry shortbread cookies,,,441.12,3.0,21.25,,0.75,61.25,Indian Dishes,40.86,6.06,13.81,0.6,0.01,1.66
Pumpkin cookies ,,,218.4,2.51,3.93,,1.06,44.69,Indian Dishes,31.62,51.49,19.36,0.52,1.26,7.8
Greenpea cookies,,,159.42,6.53,4.24,,5.32,23.07,Indian Dishes,14.45,229.9,48.45,1.47,16.8,28.24
Sunflower cookies,,,520.62,9.49,36.28,,3.95,40.06,Indian Dishes,24.28,181.68,70.45,2.21,0.0,51.65
Cardamom cookies (Elaichi cookies),,,400.49,5.1,19.12,,2.79,53.99,Indian Dishes,38.99,98.45,25.21,1.41,0.0,34.95
Hazelnut cookies,,,493.32,6.25,34.97,,2.45,39.44,Indian Dishes,22.01,81.06,47.43,1.29,0.0,19.45
Milk cookies,,,459.43,10.49,24.96,,0.99,48.43,Indian Dishes,22.06,156.53,251.59,0.75,2.03,19.54
Cranberry cookies,,,272.48,3.92,12.66,,1.13,36.39,Indian Dishes,19.96,58.25,36.16,0.71,5.52,17.21
Olive biscuit,,,438.29,3.2,23.75,,0.82,55.01,Indian Dishes,32.27,120.1,10.76,1.37,0.0,2.28
Tutti fruitti biscuit,,,420.78,5.21,17.9,,5.43,53.12,Indian Dishes,15.75,93.11,23.81,1.96,0.0,15.19
Peach blueberry preserves,,,177.38,0.53,0.2,,1.14,45.76,Indian Dishes,45.33,2.81,9.03,0.33,16.56,16.68
Pear preserves (Naashpati ka murabba),,,101.24,0.25,0.19,,3.06,25.67,Indian Dishes,25.19,2.1,6.57,0.23,15.65,21.93
Starfruit preserves ,,,128.93,0.24,0.12,,0.78,33.62,Indian Dishes,33.47,2.06,5.24,0.2,17.65,4.32
Gooseberry pickle (Amla ka achaar),,,278.58,1.55,27.61,,3.7,7.61,Indian Dishes,0.36,86.38,31.17,1.04,4.85,2.09
Lotus stem pickle (Kamal kakdi ka achar),,,102.69,1.44,1.6,,8.58,20.07,Indian Dishes,2.53,181.83,137.73,20.57,12.35,1.91
Date pickle (Khajoor ka achaar),,,182.29,1.68,4.21,,5.2,34.66,Indian Dishes,30.47,138.86,41.49,1.96,3.46,15.77
Garlic pickle (Lahasun ka achar),,,413.62,3.72,39.88,,5.13,9.75,Indian Dishes,2.32,269.12,54.66,1.82,7.33,15.98
Fermented bamboo shoot pickle (Mesu pickle),,,59.83,1.58,5.59,,2.24,1.73,Indian Dishes,0.29,161.31,16.62,0.69,19.87,23.14
Sweet peach pickle (Aadoo ka achaar),,,144.64,0.46,0.2,,1.32,37.01,Indian Dishes,36.46,33.04,11.99,0.33,7.36,8.5
Pickled mustard greens ,,,13.12,1.51,0.22,,1.7,1.05,Indian Dishes,0.02,242.36,81.44,1.22,301.6,550.52
Small onion pickle ,,,16.86,1.65,0.64,,1.09,2.76,Indian Dishes,2.99,249.48,31.95,1.2,19.37,16.9
Green tomato pickle (Haray tamatar ka achaar),,,193.26,1.23,19.67,,1.74,2.87,Indian Dishes,0.77,159.18,14.22,0.77,8.21,7.15
Pickled cabbage ,,,13.69,0.39,0.14,,0.61,2.56,Indian Dishes,2.08,121.39,15.96,0.19,16.63,23.56
Coconut pickle (Nariyal ka aachar),,,517.26,3.02,51.71,,6.35,11.53,Indian Dishes,8.98,176.54,44.78,2.62,1.71,5.56
Potato pickle (Aloo ka achaar),,,369.14,2.07,36.46,,2.21,7.87,Indian Dishes,0.82,213.73,48.46,1.12,10.14,8.16
Mango murabba candy,,,293.35,0.27,0.05,,0.95,77.32,Indian Dishes,74.73,13.71,16.55,0.33,19.85,5.7
Afghani chicken,,,151.51,15.66,9.07,,0.31,1.95,Indian Dishes,0.83,87.02,35.14,1.04,3.54,20.52
Fish orly,,,563.7,5.87,58.18,,0.33,4.27,Indian Dishes,0.24,136.37,9.55,0.31,1.35,12.83
Hariyali Fish Tikka,,,150.24,14.01,9.41,,0.99,2.21,Indian Dishes,0.83,100.45,34.86,0.83,11.11,26.78
Chicken manchurian,,,142.34,9.53,11.96,,0.41,6.06,Indian Dishes,0.9,2414.77,26.52,1.28,10.37,45.99
Handi chicken,,,166.02,12.32,12.46,,0.67,1.49,Indian Dishes,0.75,75.64,26.85,0.93,1.47,20.46
Lemon chicken,,,169.79,20.2,9.66,,0.16,0.55,Indian Dishes,0.16,79.93,17.4,0.95,8.94,31.21
Lemon butter fish,,,160.25,16.38,10.26,,0.36,0.75,Indian Dishes,0.23,187.72,18.66,0.4,8.7,19.1
Baked eggs in tomato sauce,,,80.05,4.92,5.22,,0.01,3.78,Indian Dishes,2.03,188.21,71.94,1.31,245.7,317.88
Egg in a pepper,,,128.78,12.64,8.68,,0.17,0.17,Indian Dishes,0.05,183.89,48.25,1.76,33.6,290.24
Spinach mushroom scrambled egg (Palak mushroom bhurji),,,158.85,13.28,11.51,,0.39,0.59,Indian Dishes,0.1,227.97,140.31,1.6,2.27,54.24
Corn omelette/omlet,,,166.93,11.37,12.89,,0.02,1.57,Indian Dishes,0.41,166.42,96.22,1.34,2.9,81.65
Cajun chicken,,,184.94,12.69,13.99,,0.89,1.94,Indian Dishes,1.1,1740.13,156.98,0.53,45.44,44.55
Paaner do pyaza,,,127.7,4.22,10.87,,0.84,3.41,Indian Dishes,2.2,160.66,57.22,0.45,16.81,35.64
Cabbage manchurian (Pattagobhi manchurian),,,224.26,0.64,22.48,,0.37,4.85,Indian Dishes,0.33,75.02,3.18,0.2,28.39,30.24
Gobi 65,,,278.29,0.56,29.11,,0.57,3.59,Indian Dishes,0.29,69.22,12.37,0.3,27.52,37.66
Paneer lababdar,,,105.48,3.98,8.46,,1.16,3.37,Indian Dishes,1.96,142.45,55.56,0.56,27.48,56.6
Roasted cauliflower steak,,,78.68,2.05,6.7,,3.53,2.02,Indian Dishes,0.44,120.19,24.47,0.95,47.14,46.0
Sauteed radishes with green beans,,,94.32,2.41,6.61,,3.52,6.04,Indian Dishes,1.78,65.1,40.2,1.01,6.55,45.89
Garlic chutney/Poondu chutney (Lahasun ki chutney),,,255.51,3.34,17.55,,5.15,20.44,Indian Dishes,13.36,177.62,63.51,3.26,5.7,16.82
Schezwan chutney,,,205.19,3.33,17.72,,5.72,10.79,Indian Dishes,5.66,486.27,35.46,1.96,26.36,159.08
Onion chutney (Pyaaz ki chutney/Vengaya chutney),,,143.94,2.97,8.38,,4.6,13.52,Indian Dishes,6.8,256.89,28.5,1.19,2.83,17.03
Dates chutney (Khajoor ki chutney),,,103.57,1.07,1.12,,3.41,21.69,Indian Dishes,18.68,76.77,28.72,1.19,3.41,17.27
Chicken salad,,,338.19,15.33,30.26,,2.0,1.3,Indian Dishes,0.96,50.62,43.19,1.23,4.92,35.5
Macaroni salad,,,262.19,5.02,17.78,,0.56,21.63,Indian Dishes,3.73,163.99,35.7,0.77,22.15,34.69
Cabbage raita (Pattagobhi raita),,,84.84,3.24,5.76,,0.93,5.25,Indian Dishes,4.21,125.31,118.49,0.19,28.29,53.73
Pomegranate raita (Anaar ka raita),,,72.64,4.05,3.24,,0.6,7.15,Indian Dishes,7.01,195.18,138.31,0.25,4.6,23.86
Onion raita (Pyaaz ka raita),,,71.56,4.86,2.43,,0.65,7.86,Indian Dishes,7.07,189.96,163.8,0.3,8.44,32.13
Green chilli raita (Hari mirch ka raita),,,77.13,5.58,2.92,,0.26,7.66,Indian Dishes,7.49,161.31,193.58,0.21,4.3,18.82
Kale salad,,,177.71,4.86,15.33,,1.36,5.01,Indian Dishes,3.31,292.04,109.11,1.3,30.49,35.39
Spinach and paneer souffle ,,,186.19,7.56,13.49,,1.07,9.64,Indian Dishes,2.81,434.68,114.32,1.4,10.82,133.95
Masala souffle ,,,123.51,6.38,7.37,,1.24,8.02,Indian Dishes,1.84,131.14,103.68,0.74,382.64,363.81
Chicken and cheese souffle,,,182.35,9.07,14.74,,0.26,3.47,Indian Dishes,2.46,120.93,61.71,0.63,2.4,28.77
Tamarind chutney (Chintapandu pachadi/Puli chutney),,,109.15,0.88,0.48,,1.65,25.07,Indian Dishes,22.85,75.61,40.3,1.95,0.03,0.18
Pav bhaji masala,,,230.47,9.13,10.96,,24.3,29.15,Indian Dishes,1.48,1814.66,588.91,12.84,0.06,0.21
Green chutney,,,79.42,5.42,1.6,,5.84,10.01,Indian Dishes,0.92,262.81,112.74,4.58,7.35,15.53
Sago khitchdi/khichri (Sabudana khitchdi/khichri),,,187.16,2.72,10.1,,1.82,22.41,Indian Dishes,1.03,100.26,15.13,0.86,13.41,34.18
Gram flour chilla/cheela (Besan chilla/cheela),,,135.93,7.8,2.85,,4.25,21.03,Indian Dishes,1.87,135.57,28.38,2.19,1.73,34.69
Vegetable namkeen jave,,,112.23,2.93,2.51,,2.86,18.98,Indian Dishes,1.04,32.13,10.32,1.07,12.45,26.26
Khakhra,,,178.5,4.78,5.32,,5.43,27.66,Indian Dishes,0.88,184.16,21.27,2.14,0.56,10.5
Moong bean dosa (Pesarattu),,,285.96,12.32,11.67,,6.04,31.91,Indian Dishes,2.9,61.36,36.44,3.38,1.48,14.32
Methi thepla,,,346.16,8.98,15.95,,7.56,41.34,Indian Dishes,2.98,543.27,73.51,4.52,1.06,15.26
Rice puttu (Ari puttu),,,81.98,1.26,3.13,,0.76,11.82,Indian Dishes,0.33,48.28,4.96,0.42,0.0,4.85
Buckwheat pancake (Khura),,,263.3,2.91,16.43,,0.56,27.28,Indian Dishes,0.64,69.97,11.32,0.69,0.66,3.38
Quinoa khichdi/khichri,,,64.01,3.18,1.59,,2.58,8.83,Indian Dishes,0.69,69.64,24.59,1.12,9.13,82.57
Khakhra chaat,,,358.66,4.52,30.65,,3.04,16.64,Indian Dishes,3.26,102.78,24.49,1.26,46.67,312.97
Banana appam,,,469.81,1.17,42.53,,0.67,20.06,Indian Dishes,9.95,20.14,13.74,0.77,4.03,13.79
Veg manchurian,,,585.64,0.89,61.65,,1.16,6.82,Indian Dishes,0.76,65.31,16.79,0.31,15.1,26.53
Pav bhaji,,,96.53,2.66,4.32,,1.98,11.99,Indian Dishes,2.06,163.89,24.86,0.97,76.48,170.49
Rice murukku,,,593.99,5.41,48.22,,2.18,33.29,Indian Dishes,0.17,63.31,24.63,1.7,0.0,8.2
Bhel puri ,,,509.89,3.52,47.91,,2.24,16.47,Indian Dishes,3.41,93.98,24.22,1.29,31.61,157.03
Semolina dhokla (Suji/Rava dhokla),,,194.91,5.44,5.2,,5.12,30.86,Indian Dishes,1.85,443.39,31.17,2.52,3.66,15.26
Spicy corn chaat ,,,479.8,4.61,46.55,,2.17,11.45,Indian Dishes,0.95,86.5,17.28,0.84,14.1,227.37
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),,,597.79,2.34,54.41,,1.5,24.0,Indian Dishes,11.48,46.39,24.62,1.15,0.32,2.47
Banana chips (Kele ke chips),,,665.67,0.37,70.46,,0.65,7.32,Indian Dishes,4.37,86.87,2.01,0.19,4.03,8.97
Wheat cake,,,314.63,4.79,14.95,,2.76,41.13,Indian Dishes,25.79,82.96,98.91,1.08,0.76,7.6
Mango cheesecake,,,152.46,2.39,7.3,,1.14,20.06,Indian Dishes,15.36,107.12,55.1,0.53,24.93,68.68
Carrot cake (Gajar ka cake),,,255.59,5.6,10.27,,2.93,35.98,Indian Dishes,23.96,158.74,156.1,1.03,3.12,17.06
Semolina cake (Suji/Rava cake),,,374.14,6.58,25.18,,5.37,31.32,Indian Dishes,18.86,91.36,128.28,1.36,0.94,9.42
Finger millet cake (Ragi cake),,,279.46,3.96,12.27,,2.35,38.93,Indian Dishes,24.76,98.26,118.38,1.35,0.76,11.41
Honey cake,,,333.59,3.08,14.7,,0.51,49.04,Indian Dishes,33.43,72.55,50.86,0.46,0.53,10.06
